20190819115834-full-text-search.sql,2020-08-01 11:02:06.154557
20191028103522-create-weekly-repetition.sql,2020-08-01 11:02:06.160116
20191225185502-populate-digest-version.sql,2020-08-01 11:02:06.161482
20191226093447-add-digest-id-primary-key.sql,2020-08-01 11:02:06.162649
20191226105659-use-id-in-digest-notes-joining-table.sql,2020-08-01 11:02:06.163849
20191226152111-delete-outdated-digests.sql,2020-08-01 11:02:06.165130
20200522170529-remove-billing-columns.sql,2020-08-01 11:02:06.166869
